Date,Close,Open,High,Low,Volume,변동 %
2019-06-12,16800 ,17000 ,17400 ,16700 ,167.01K,-1.47%
2019-06-13,16350 ,16800 ,17000 ,16150 ,327.94K,-2.68%
2019-06-14,16050 ,16350 ,16600 ,16000 ,132.83K,-1.83%
2019-06-17,15650 ,16050 ,16100 ,15450 ,137.74K,-2.49%
2019-06-18,15700 ,15650 ,16100 ,15450 ,149.00K,0.32%
2019-06-19,15400 ,15900 ,16300 ,15200 ,137.58K,-1.91%
2019-06-20,15850 ,15400 ,16000 ,15300 ,128.90K,2.92%
2019-06-21,15800 ,15700 ,15900 ,15450 ,119.14K,-0.32%
2019-06-23,15800 ,15800 ,15800 ,15800 ,-,0.00%
2019-06-24,15850 ,15800 ,16100 ,15600 ,122.92K,0.32%
2019-06-25,15500 ,15900 ,15950 ,15400 ,87.33K,-2.21%
2019-06-26,15500 ,15500 ,15650 ,15200 ,101.64K,0.00%
2019-06-27,15050 ,15700 ,15750 ,14750 ,167.26K,-2.90%
2019-06-28,14050 ,15050 ,15100 ,13600 ,421.56K,-6.64%
2019-07-01,15150 ,14200 ,15250 ,14200 ,238.10K,7.83%
2019-07-02,15050 ,15150 ,15200 ,14700 ,125.02K,-0.66%
2019-07-03,15150 ,14800 ,15200 ,14650 ,108.77K,0.66%
2019-07-04,14950 ,14850 ,15050 ,14500 ,157.18K,-1.32%
2019-07-05,15250 ,15200 ,15300 ,14800 ,106.04K,2.01%
2019-07-08,14450 ,15200 ,15250 ,14350 ,218.62K,-5.25%
2019-07-09,14250 ,14600 ,14800 ,14250 ,125.13K,-1.38%
2019-07-10,14200 ,14400 ,14650 ,14150 ,99.26K,-0.35%
2019-07-11,14600 ,14400 ,14600 ,14100 ,83.04K,2.82%
2019-07-12,14550 ,14400 ,14800 ,14250 ,95.70K,-0.34%
2019-07-15,14200 ,14550 ,14550 ,14100 ,93.60K,-2.41%
2019-07-16,13950 ,14150 ,14400 ,13750 ,154.70K,-1.76%
2019-07-17,13250 ,13950 ,13950 ,12950 ,363.85K,-5.02%
2019-07-18,13450 ,13200 ,13500 ,12850 ,109.24K,1.51%
2019-07-19,13850 ,13550 ,13900 ,13350 ,79.75K,2.97%
